name,type,missing
policy_id,character,0
policy_tenure,numeric,0
age_of_car,numeric,0
age_of_policyholder,numeric,0
area_cluster,character,0
population_density,numeric,0
make,numeric,0
segment,character,0
model,character,0
fuel_type,character,0
max_torque,character,0
max_power,character,0
engine_type,character,0
airbags,numeric,0
is_esc,character,0
is_adjustable_steering,character,0
is_tpms,character,0
is_parking_sensors,character,0
is_parking_camera,character,0
rear_brakes_type,character,0
displacement,numeric,0
cylinder,numeric,0
transmission_type,character,0
gear_box,numeric,0
steering_type,character,0
turning_radius,numeric,0
length,numeric,0
width,numeric,0
height,numeric,0
gross_weight,numeric,0
is_front_fog_lights,character,0
is_rear_window_wiper,character,0
is_rear_window_washer,character,0
is_rear_window_defogger,character,0
is_brake_assist,character,0
is_power_door_locks,character,0
is_central_locking,character,0
is_power_steering,character,0
is_driver_seat_height_adjustable,character,0
is_day_night_rear_view_mirror,character,0
is_ecw,character,0
is_speed_alert,character,0
ncap_rating,numeric,0
is_claim,numeric,0
